strategy,attack,round,n_seeds,mean_acc,std_acc
ArKrum,gaussian,1,5,0.765320,0.078102
ArKrum,gaussian,2,5,0.891600,0.019841
ArKrum,gaussian,3,5,0.912480,0.006105
ArKrum,gaussian,4,5,0.923600,0.005999
ArKrum,gaussian,5,5,0.930700,0.004301
ArKrum,gaussian,6,5,0.936700,0.002900
ArKrum,gaussian,7,5,0.941560,0.002536
ArKrum,gaussian,8,5,0.945600,0.003078
ArKrum,gaussian,9,5,0.948940,0.003061
ArKrum,gaussian,10,5,0.951160,0.002758
ArKrum,gaussian,11,5,0.953980,0.002657
ArKrum,gaussian,12,5,0.956960,0.003360
ArKrum,gaussian,13,5,0.958380,0.003157
ArKrum,gaussian,14,5,0.960640,0.003299
ArKrum,gaussian,15,5,0.961760,0.002881
ArKrum,gaussian,16,5,0.962260,0.003998
ArKrum,ipm,1,5,0.006680,0.005991
ArKrum,ipm,2,5,0.750200,0.050009
ArKrum,ipm,3,5,0.704440,0.042311
ArKrum,ipm,4,5,0.902200,0.004854
ArKrum,ipm,5,5,0.896980,0.011854
ArKrum,ipm,6,5,0.925820,0.003215
ArKrum,ipm,7,5,0.927120,0.008246
ArKrum,ipm,8,5,0.937060,0.003065
ArKrum,ipm,9,5,0.940760,0.004484
ArKrum,ipm,10,5,0.946220,0.004487
ArKrum,ipm,11,5,0.946440,0.003009
ArKrum,ipm,12,5,0.952580,0.002945
ArKrum,ipm,13,5,0.953360,0.004435
ArKrum,ipm,14,5,0.956980,0.003064
ArKrum,ipm,15,5,0.958100,0.003548
ArKrum,ipm,16,5,0.960420,0.004365
ArKrum,label_flip,1,5,0.765320,0.078102
ArKrum,label_flip,2,5,0.891600,0.019841
ArKrum,label_flip,3,5,0.912480,0.006105
ArKrum,label_flip,4,5,0.923600,0.005999
ArKrum,label_flip,5,5,0.930700,0.004301
ArKrum,label_flip,6,5,0.936700,0.002900
ArKrum,label_flip,7,5,0.941560,0.002536
ArKrum,label_flip,8,5,0.945600,0.003078
ArKrum,label_flip,9,5,0.948940,0.003061
ArKrum,label_flip,10,5,0.951160,0.002758
ArKrum,label_flip,11,5,0.953980,0.002657
ArKrum,label_flip,12,5,0.956960,0.003360
ArKrum,label_flip,13,5,0.958380,0.003157
ArKrum,label_flip,14,5,0.960640,0.003299
ArKrum,label_flip,15,5,0.961760,0.002881
ArKrum,label_flip,16,5,0.962260,0.003998
Bulyan,gaussian,1,5,0.723780,0.069109
Bulyan,gaussian,2,5,0.884720,0.018047
Bulyan,gaussian,3,5,0.906800,0.008752
Bulyan,gaussian,4,5,0.918880,0.008483
Bulyan,gaussian,5,5,0.926860,0.003281
Bulyan,gaussian,6,5,0.932980,0.003163
Bulyan,gaussian,7,5,0.937420,0.002657
Bulyan,gaussian,8,5,0.940260,0.003707
Bulyan,gaussian,9,5,0.943820,0.003328
Bulyan,gaussian,10,5,0.947180,0.002675
Bulyan,gaussian,11,5,0.949740,0.002211
Bulyan,gaussian,12,5,0.951860,0.002764
Bulyan,gaussian,13,5,0.953260,0.003065
Bulyan,gaussian,14,5,0.955040,0.002137
Bulyan,gaussian,15,5,0.957200,0.002230
Bulyan,gaussian,16,5,0.957220,0.002510
Bulyan,ipm,1,5,0.723780,0.069109
Bulyan,ipm,2,5,0.884720,0.018047
Bulyan,ipm,3,5,0.906800,0.008752
Bulyan,ipm,4,5,0.918880,0.008483
Bulyan,ipm,5,5,0.926860,0.003281
Bulyan,ipm,6,5,0.932980,0.003163
Bulyan,ipm,7,5,0.937420,0.002657
Bulyan,ipm,8,5,0.940260,0.003707
Bulyan,ipm,9,5,0.943820,0.003328
Bulyan,ipm,10,5,0.947180,0.002675
Bulyan,ipm,11,5,0.949740,0.002211
Bulyan,ipm,12,5,0.951860,0.002764
Bulyan,ipm,13,5,0.953260,0.003065
Bulyan,ipm,14,5,0.955040,0.002137
Bulyan,ipm,15,5,0.957200,0.002230
Bulyan,ipm,16,5,0.957220,0.002510
Bulyan,label_flip,1,5,0.723780,0.069109
Bulyan,label_flip,2,5,0.884720,0.018047
Bulyan,label_flip,3,5,0.906800,0.008752
Bulyan,label_flip,4,5,0.918880,0.008483
Bulyan,label_flip,5,5,0.926860,0.003281
Bulyan,label_flip,6,5,0.932980,0.003163
Bulyan,label_flip,7,5,0.937420,0.002657
Bulyan,label_flip,8,5,0.940260,0.003707
Bulyan,label_flip,9,5,0.943820,0.003328
Bulyan,label_flip,10,5,0.947180,0.002675
Bulyan,label_flip,11,5,0.949740,0.002211
Bulyan,label_flip,12,5,0.951860,0.002764
Bulyan,label_flip,13,5,0.953260,0.003065
Bulyan,label_flip,14,5,0.955040,0.002137
Bulyan,label_flip,15,5,0.957200,0.002230
Bulyan,label_flip,16,5,0.957220,0.002510
FedAvg,gaussian,1,5,0.085560,0.009446
FedAvg,gaussian,2,5,0.098000,0.000000
FedAvg,gaussian,3,5,0.098000,0.000000
FedAvg,gaussian,4,5,0.098000,0.000000
FedAvg,gaussian,5,5,0.098000,0.000000
FedAvg,gaussian,6,5,0.098000,0.000000
FedAvg,gaussian,7,5,0.098000,0.000000
FedAvg,gaussian,8,5,0.098000,0.000000
FedAvg,gaussian,9,5,0.098000,0.000000
FedAvg,gaussian,10,5,0.098000,0.000000
FedAvg,gaussian,11,5,0.098000,0.000000
FedAvg,gaussian,12,5,0.098000,0.000000
FedAvg,gaussian,13,5,0.098000,0.000000
FedAvg,gaussian,14,5,0.098000,0.000000
FedAvg,gaussian,15,5,0.098000,0.000000
FedAvg,gaussian,16,5,0.098000,0.000000
FedAvg,ipm,1,5,0.775880,0.066954
FedAvg,ipm,2,5,0.863440,0.024529
FedAvg,ipm,3,5,0.873240,0.016988
FedAvg,ipm,4,5,0.878640,0.020413
FedAvg,ipm,5,5,0.882780,0.017595
FedAvg,ipm,6,5,0.882600,0.019671
FedAvg,ipm,7,5,0.887120,0.013442
FedAvg,ipm,8,5,0.886420,0.016868
FedAvg,ipm,9,5,0.886260,0.018052
FedAvg,ipm,10,5,0.886160,0.014420
FedAvg,ipm,11,5,0.883380,0.020176
FedAvg,ipm,12,5,0.888180,0.016267
FedAvg,ipm,13,5,0.887160,0.018531
FedAvg,ipm,14,5,0.887360,0.013865
FedAvg,ipm,15,5,0.887480,0.016889
FedAvg,ipm,16,5,0.889860,0.013463
FedAvg,label_flip,1,5,0.782600,0.041508
FedAvg,label_flip,2,5,0.868840,0.027753
FedAvg,label_flip,3,5,0.878960,0.012589
FedAvg,label_flip,4,5,0.895220,0.015181
FedAvg,label_flip,5,5,0.903880,0.012746
FedAvg,label_flip,6,5,0.908820,0.020875
FedAvg,label_flip,7,5,0.916160,0.015046
FedAvg,label_flip,8,5,0.918920,0.017844
FedAvg,label_flip,9,5,0.920060,0.017711
FedAvg,label_flip,10,5,0.924040,0.012431
FedAvg,label_flip,11,5,0.922480,0.020091
FedAvg,label_flip,12,5,0.925020,0.017286
FedAvg,label_flip,13,5,0.932240,0.011824
FedAvg,label_flip,14,5,0.929680,0.021087
FedAvg,label_flip,15,5,0.925700,0.022232
FedAvg,label_flip,16,5,0.932940,0.008508
Krum,gaussian,1,5,0.613360,0.027597
Krum,gaussian,2,5,0.816260,0.027766
Krum,gaussian,3,5,0.846300,0.031233
Krum,gaussian,4,5,0.865220,0.014257
Krum,gaussian,5,5,0.862520,0.023585
Krum,gaussian,6,5,0.874300,0.023258
Krum,gaussian,7,5,0.891720,0.026443
Krum,gaussian,8,5,0.884740,0.020911
Krum,gaussian,9,5,0.883640,0.016234
Krum,gaussian,10,5,0.894020,0.025021
Krum,gaussian,11,5,0.899760,0.027011
Krum,gaussian,12,5,0.900460,0.019981
Krum,gaussian,13,5,0.899820,0.024105
Krum,gaussian,14,5,0.899100,0.020543
Krum,gaussian,15,5,0.899440,0.014728
Krum,gaussian,16,5,0.909020,0.026287
Krum,ipm,1,5,0.613360,0.027597
Krum,ipm,2,5,0.816260,0.027766
Krum,ipm,3,5,0.846300,0.031233
Krum,ipm,4,5,0.865220,0.014257
Krum,ipm,5,5,0.862520,0.023585
Krum,ipm,6,5,0.874300,0.023258
Krum,ipm,7,5,0.891720,0.026443
Krum,ipm,8,5,0.884740,0.020911
Krum,ipm,9,5,0.883640,0.016234
Krum,ipm,10,5,0.894020,0.025021
Krum,ipm,11,5,0.899760,0.027011
Krum,ipm,12,5,0.900460,0.019981
Krum,ipm,13,5,0.899820,0.024105
Krum,ipm,14,5,0.899100,0.020543
Krum,ipm,15,5,0.899440,0.014728
Krum,ipm,16,5,0.909020,0.026287
Krum,label_flip,1,5,0.613360,0.027597
Krum,label_flip,2,5,0.816260,0.027766
Krum,label_flip,3,5,0.846300,0.031233
Krum,label_flip,4,5,0.865220,0.014257
Krum,label_flip,5,5,0.862520,0.023585
Krum,label_flip,6,5,0.874300,0.023258
Krum,label_flip,7,5,0.891720,0.026443
Krum,label_flip,8,5,0.884740,0.020911
Krum,label_flip,9,5,0.883640,0.016234
Krum,label_flip,10,5,0.894020,0.025021
Krum,label_flip,11,5,0.899760,0.027011
Krum,label_flip,12,5,0.900460,0.019981
Krum,label_flip,13,5,0.899820,0.024105
Krum,label_flip,14,5,0.899100,0.020543
Krum,label_flip,15,5,0.899440,0.014728
Krum,label_flip,16,5,0.909020,0.026287
MultiKrum,gaussian,1,5,0.667560,0.080991
MultiKrum,gaussian,2,5,0.849420,0.050875
MultiKrum,gaussian,3,5,0.883080,0.026871
MultiKrum,gaussian,4,5,0.892380,0.010881
MultiKrum,gaussian,5,5,0.902180,0.008192
MultiKrum,gaussian,6,5,0.910740,0.007533
MultiKrum,gaussian,7,5,0.913520,0.010770
MultiKrum,gaussian,8,5,0.916640,0.010919
MultiKrum,gaussian,9,5,0.922220,0.009224
MultiKrum,gaussian,10,5,0.926200,0.007241
MultiKrum,gaussian,11,5,0.927360,0.007013
MultiKrum,gaussian,12,5,0.928620,0.004222
MultiKrum,gaussian,13,5,0.934040,0.006519
MultiKrum,gaussian,14,5,0.933640,0.006605
MultiKrum,gaussian,15,5,0.935660,0.008343
MultiKrum,gaussian,16,5,0.937560,0.005518
MultiKrum,ipm,1,5,0.667560,0.080991
MultiKrum,ipm,2,5,0.849420,0.050875
MultiKrum,ipm,3,5,0.883080,0.026871
MultiKrum,ipm,4,5,0.892380,0.010881
MultiKrum,ipm,5,5,0.902180,0.008192
MultiKrum,ipm,6,5,0.910740,0.007533
MultiKrum,ipm,7,5,0.913520,0.010770
MultiKrum,ipm,8,5,0.916640,0.010919
MultiKrum,ipm,9,5,0.922220,0.009224
MultiKrum,ipm,10,5,0.926200,0.007241
MultiKrum,ipm,11,5,0.927360,0.007013
MultiKrum,ipm,12,5,0.928620,0.004222
MultiKrum,ipm,13,5,0.934040,0.006519
MultiKrum,ipm,14,5,0.933640,0.006605
MultiKrum,ipm,15,5,0.935660,0.008343
MultiKrum,ipm,16,5,0.937560,0.005518
MultiKrum,label_flip,1,5,0.667560,0.080991
MultiKrum,label_flip,2,5,0.849420,0.050875
MultiKrum,label_flip,3,5,0.883080,0.026871
MultiKrum,label_flip,4,5,0.892380,0.010881
MultiKrum,label_flip,5,5,0.902180,0.008192
MultiKrum,label_flip,6,5,0.910740,0.007533
MultiKrum,label_flip,7,5,0.913520,0.010770
MultiKrum,label_flip,8,5,0.916640,0.010919
MultiKrum,label_flip,9,5,0.922220,0.009224
MultiKrum,label_flip,10,5,0.926200,0.007241
MultiKrum,label_flip,11,5,0.927360,0.007013
MultiKrum,label_flip,12,5,0.928620,0.004222
MultiKrum,label_flip,13,5,0.934040,0.006519
MultiKrum,label_flip,14,5,0.933640,0.006605
MultiKrum,label_flip,15,5,0.935660,0.008343
MultiKrum,label_flip,16,5,0.937560,0.005518
